patRIL,Treat,Dm01792789_g1,Dm01793858_g1,Dm01798339_g1,Dm01798691_g1,Dm01798946_g1,Dm01798992_g1,Dm01799655_g1,Dm01801937_g1,Dm01802841_g1,Dm01803993_g1,Dm01807222_m1,Dm01810402_g1,Dm01813055_g1,Dm01813266_g1,Dm01815101_g1,Dm01816738_g1,Dm01818330_g1,Dm01822194_m1,Dm01822280_g1,Dm01822534_g1,Dm01823183_g1,Dm01825257_g1,Dm01825738_m1,Dm01829117_g1,Dm01829677_g1,Dm01829746_g1,Dm01829971_g1,Dm01837277_g1,Dm01842621_g1,Dm01842882_m1,Dm01842928_g1,Dm01843300_g1,Dm01843706_m1,Dm01844965_g1,Dm01845207_g1,Dm01846623_g1,Dm02135088_g1,Dm02136225_g1,Dm02138179_g1,Dm02140028_g1,Dm02140207_g1,Dm02141794_g1,Dm02142684_g1,Dm02144162_s1,Dm02144278_g1,Dm02144969_g1,Dm02147969_g1,Dm02149560_g1,Dm02149812_m1,Dm02154337_g1,Dm02371846_s1,Dm02773276_u1
22350,HS,-0.602006499,-0.142364055,-0.719718858,-1.505967676,-0.918245093,-0.287688876,0.337355327,0.992908151,1.906358003,0.387868693,0,-1.161882937,0.142364055,0.602006499,1.672937388,-0.337355327,1.372810323,-0.19032227,-1.073562376,-2.348130201,0.439392226,-1.260338797,-0.439392226,-0.492110105,-1.372810323,-0.992908151,-0.848379932,0.238722518,-0.659719326,0.546233181,-1.672937388,-0.782429395,0.719718858,1.073562376,1.505967676,-0.546233181,-0.094731242,1.260338797,0.848379932,-0.047312518,1.161882937,-0.238722518,0.047312518,-1.906358003,0.287688876,0.19032227,0.094731242,0.918245093,2.348130201,0.782429395,-0.387868693,0.492110105
22138,DR,-2.348130201,0.719718858,2.348130201,-0.492110105,-0.992908151,-0.918245093,0,0.918245093,1.372810323,-0.659719326,0.238722518,1.505967676,-0.782429395,-1.906358003,-0.337355327,-0.546233181,0.602006499,-0.287688876,1.906358003,0.782429395,0.492110105,-1.372810323,1.260338797,0.439392226,0.659719326,0.992908151,0.546233181,-0.602006499,1.672937388,-0.387868693,0.848379932,-1.260338797,0.387868693,-1.073562376,-0.439392226,-0.047312518,0.337355327,-1.161882937,-0.238722518,-0.19032227,0.142364055,0.047312518,1.161882937,-0.848379932,0.287688876,1.073562376,-1.505967676,-1.672937388,-0.142364055,-0.094731242,0.094731242,-0.719718858
22378,C,0.094731242,-2.348130201,0.659719326,0.782429395,0.287688876,1.372810323,0.992908151,1.672937388,-1.161882937,-0.602006499,-0.659719326,2.348130201,-0.848379932,-0.782429395,-1.260338797,0,-0.238722518,0.719718858,0.918245093,0.387868693,0.848379932,-0.19032227,-0.918245093,-0.287688876,1.505967676,1.906358003,0.546233181,-0.047312518,-1.505967676,-0.719718858,1.073562376,-0.094731242,0.142364055,-0.992908151,-0.546233181,-1.073562376,-0.439392226,-0.337355327,-0.142364055,-1.372810323,0.238722518,-1.906358003,0.047312518,1.260338797,0.492110105,0.602006499,-1.672937388,-0.387868693,0.337355327,1.161882937,0.439392226,0.19032227
22316,DR,0.337355327,1.672937388,-0.492110105,-2.348130201,2.348130201,-0.337355327,0.918245093,1.260338797,0.387868693,-0.094731242,-0.659719326,-1.672937388,0.439392226,1.906358003,-0.782429395,0.238722518,-0.439392226,0.659719326,-0.918245093,-0.546233181,0.287688876,0,-0.19032227,-1.505967676,0.142364055,-0.719718858,0.19032227,-0.287688876,1.505967676,-1.073562376,1.372810323,1.161882937,-1.260338797,0.094731242,0.546233181,-0.387868693,0.492110105,0.047312518,0.719718858,0.602006499,0.848379932,1.073562376,-1.372810323,-1.906358003,-0.992908151,0.992908151,-1.161882937,-0.848379932,-0.142364055,0.782429395,-0.047312518,-0.602006499
22167,HS,0.833817742,1.117722657,-1.000544623,-0.946918184,0.733770783,0.148514085,-0.229821222,-2.127244102,0.025256683,-1.710846289,0.826313739,-0.223337485,-0.503703867,2.010533794,-0.855082825,0.239005573,-0.377092817,0.436235052,-0.461491735,1.48996019,-0.692624256,0,0.411756925,1.466638092,-1.077619859,-0.304828707,1.144198536,-0.554283681,0.972679951,0.686405161,-1.161882937,0.414870957,-0.077658642,0.27734699,-0.028856413,-0.563352103,-0.29677285,0.749875134,0.329028831,0.670245018,-1.026100429,-0.071995638,-0.27734699,-0.63726975,-0.2651882,0.140163316,-0.774013837,0.575914715,0.496454076,-0.124534978,0.940800897,-0.191181765
22262,C,-0.848379932,0.546233181,-0.659719326,1.505967676,0.719718858,0.19032227,1.672937388,0.992908151,-0.238722518,0.439392226,0.492110105,0.659719326,0.337355327,-0.602006499,-1.372810323,-0.492110105,-0.387868693,0.047312518,1.372810323,1.260338797,-0.047312518,0.094731242,-0.546233181,-0.918245093,2.348130201,1.073562376,0.142364055,-0.094731242,1.161882937,-0.142364055,-0.19032227,0,-1.073562376,-0.992908151,0.848379932,-1.161882937,0.287688876,-0.337355327,-1.672937388,0.602006499,-1.260338797,-0.719718858,0.238722518,1.906358003,0.387868693,0.918245093,-1.906358003,-0.782429395,-0.287688876,-2.348130201,0.782429395,-0.439392226
22378,DR,-0.142364055,-0.719718858,2.348130201,1.372810323,0.782429395,-0.992908151,0.992908151,1.260338797,-2.348130201,0.659719326,-1.372810323,1.906358003,-0.238722518,-0.546233181,-0.848379932,-0.337355327,-0.047312518,0.238722518,0.602006499,1.505967676,-1.672937388,0.19032227,-0.602006499,-0.094731242,0.848379932,1.672937388,0.719718858,-0.387868693,-1.505967676,-0.918245093,0.918245093,0,-0.492110105,1.073562376,-0.287688876,0.546233181,0.094731242,-0.782429395,-1.073562376,-0.439392226,0.142364055,-1.260338797,-0.659719326,0.492110105,1.161882937,0.387868693,0.047312518,0.439392226,0.287688876,-1.906358003,-0.19032227,0.337355327
22245,DR,-0.439392226,0.19032227,-0.992908151,-1.672937388,1.073562376,-0.287688876,0.142364055,0,0.287688876,-0.602006499,0.659719326,-0.142364055,1.672937388,1.505967676,-1.161882937,0.602006499,-0.918245093,0.094731242,-1.260338797,-0.782429395,0.337355327,0.719718858,1.372810323,0.047312518,0.782429395,1.260338797,0.238722518,-0.238722518,1.161882937,-0.047312518,1.906358003,-0.546233181,-1.073562376,-0.659719326,2.348130201,-0.337355327,0.546233181,0.492110105,-1.372810323,0.387868693,0.918245093,-0.387868693,-0.719718858,-1.906358003,-0.19032227,0.439392226,-0.492110105,-0.848379932,-0.094731242,0.848379932,0.992908151,-2.348130201
22307,HS,-0.387868693,-1.073562376,-0.546233181,0.602006499,-1.260338797,-0.782429395,-0.19032227,0.918245093,0.719718858,-0.602006499,1.372810323,0.337355327,-2.348130201,0,-0.848379932,0.659719326,0.19032227,0.094731242,-0.047312518,-1.372810323,1.161882937,1.260338797,0.848379932,0.782429395,1.906358003,-0.992908151,-1.505967676,-0.492110105,-1.906358003,-0.287688876,-0.719718858,2.348130201,0.439392226,0.992908151,1.672937388,-0.337355327,1.073562376,-0.659719326,-1.161882937,0.387868693,0.047312518,-0.142364055,0.142364055,0.287688876,0.238722518,-0.918245093,-0.439392226,-0.094731242,0.546233181,-1.672937388,1.505967676,0.492110105
22339,C,-1.372810323,0.992908151,1.505967676,0.602006499,0.918245093,-0.782429395,1.161882937,2.348130201,0.142364055,0.337355327,-0.992908151,1.260338797,0,-0.546233181,-1.161882937,-0.918245093,-0.19032227,-0.719718858,0.546233181,1.372810323,0.659719326,-1.672937388,0.439392226,0.719718858,1.906358003,0.387868693,0.287688876,-0.848379932,-0.659719326,-0.094731242,0.782429395,0.094731242,-0.047312518,-1.906358003,0.047312518,-0.492110105,-1.505967676,0.238722518,0.19032227,0.492110105,-0.337355327,-0.602006499,-0.287688876,1.073562376,1.672937388,-0.387868693,-1.073562376,-1.260338797,-0.238722518,0.848379932,-2.348130201,-0.439392226
22379,HS,0.653056893,0.170278087,0.543895702,0.910801132,0.927995886,-0.393124409,1.804234499,-0.492812704,0.506488167,-0.132325586,-0.343849076,-0.447846225,0.972679951,1.053987088,-0.279938219,0.8302496,-0.166343163,0.341216187,-0.812812435,0,-0.959521752,0.535059136,-0.214522394,-0.191210059,-0.662748902,-0.549555776,1.33292277,-0.168677664,0.881996974,-0.122752319,0.855082825,-0.056743072,-1.054703841,0.210498404,-1.5833484,0,-0.856313504,0.876224451,-0.63726975,0.449088455,-0.363961411,0.129272152,-0.112591222,-1.333925307,-0.733482888,0.121818922,0.191181765,-0.122752319,0.456724926,-1.1740651,-0.670245018,-0.24049817
22366,DR,-0.337355327,-1.906358003,-0.918245093,-0.782429395,1.505967676,1.260338797,0.546233181,-0.094731242,-0.602006499,-0.492110105,0.387868693,-0.19032227,1.073562376,-0.439392226,0.142364055,0.602006499,-0.546233181,0.19032227,0.094731242,1.672937388,-0.238722518,0.492110105,-1.672937388,-1.260338797,1.372810323,0.918245093,0,0.782429395,-0.992908151,-0.659719326,2.348130201,-0.287688876,1.161882937,0.848379932,-1.073562376,-1.505967676,-0.047312518,-1.161882937,-0.848379932,0.439392226,0.719718858,-0.719718858,0.992908151,-1.372810323,0.238722518,1.906358003,0.047312518,-0.387868693,0.659719326,-0.142364055,0.287688876,0.337355327
22326,C,-1.372810323,-1.073562376,0.782429395,1.161882937,0.337355327,-2.348130201,1.505967676,0.848379932,0.492110105,0.387868693,-0.238722518,-0.659719326,-0.047312518,-0.992908151,-0.848379932,0.19032227,-0.782429395,-0.287688876,2.348130201,0.094731242,1.372810323,-1.906358003,-0.387868693,0.918245093,1.906358003,1.073562376,-0.602006499,-1.260338797,0.992908151,0,1.260338797,-1.672937388,0.546233181,-1.505967676,0.602006499,-0.546233181,0.142364055,-1.161882937,-0.142364055,-0.492110105,-0.094731242,-0.439392226,0.659719326,1.672937388,0.439392226,0.287688876,-0.918245093,-0.719718858,0.238722518,-0.19032227,0.719718858,0.047312518
22304,DR,-0.047312518,1.372810323,2.348130201,-1.505967676,1.906358003,1.505967676,-1.906358003,-0.287688876,1.073562376,-0.659719326,0.387868693,-1.672937388,0.19032227,0.546233181,0.047312518,0.492110105,-0.918245093,0.337355327,-0.992908151,0.719718858,-0.337355327,-0.094731242,-1.260338797,-1.372810323,0.918245093,0.782429395,0.287688876,1.260338797,-0.19032227,0.142364055,1.672937388,1.161882937,-0.238722518,0.848379932,-1.161882937,-0.387868693,-0.492110105,-0.439392226,0.602006499,-0.546233181,-0.719718858,-0.782429395,0.659719326,-0.602006499,0.238722518,-0.142364055,-0.848379932,0.439392226,0.992908151,0.094731242,-2.348130201,0
22298,DR,0.094731242,-1.161882937,0.439392226,-0.659719326,-0.337355327,1.505967676,-0.287688876,0.659719326,-0.918245093,-0.602006499,-0.142364055,-0.094731242,-2.348130201,1.260338797,0.848379932,0.782429395,-1.906358003,-0.546233181,-0.992908151,-0.782429395,2.348130201,0.992908151,0.047312518,-0.719718858,-1.073562376,-0.238722518,0.337355327,0.287688876,0.387868693,1.906358003,1.073562376,0.602006499,-0.047312518,1.372810323,-1.505967676,0.142364055,0.546233181,-0.19032227,-0.492110105,-0.848379932,-0.439392226,-1.260338797,1.161882937,-0.387868693,0.238722518,0.492110105,-1.372810323,0.719718858,0.19032227,1.672937388,0,0.918245093
22203,HS,-1.672937388,0.992908151,1.505967676,1.372810323,0.546233181,0.602006499,1.073562376,1.161882937,0.094731242,-2.348130201,-1.372810323,0.918245093,0.439392226,-0.337355327,-0.492110105,-0.047312518,-0.602006499,-0.287688876,0.782429395,1.906358003,0.492110105,0.659719326,-1.505967676,-0.659719326,1.260338797,0.719718858,1.672937388,-0.719718858,0,-0.387868693,0.848379932,0.337355327,-0.439392226,-0.848379932,-0.918245093,0.047312518,-1.906358003,-1.161882937,0.287688876,-0.782429395,-0.142364055,-1.073562376,0.142364055,2.348130201,-0.19032227,-0.094731242,-0.992908151,-1.260338797,0.19032227,0.387868693,0.238722518,-0.238722518
22184,HS,0.387868693,0.492110105,0.546233181,0.918245093,1.906358003,2.348130201,0.287688876,-0.387868693,1.260338797,-0.992908151,0.337355327,0.238722518,0.719718858,-0.142364055,-1.260338797,-0.439392226,-0.492110105,-0.094731242,-1.505967676,-0.659719326,-0.602006499,-0.918245093,-1.672937388,-0.546233181,1.372810323,0.047312518,1.672937388,-0.19032227,-0.337355327,-1.073562376,1.161882937,0.659719326,-0.047312518,1.505967676,0,-1.372810323,-0.238722518,-1.161882937,-0.848379932,0.142364055,0.602006499,1.073562376,0.848379932,-0.782429395,0.439392226,0.782429395,-1.906358003,0.992908151,-0.719718858,-2.348130201,0.094731242,0.19032227
22306,C,-0.238722518,0.142364055,-1.161882937,1.906358003,0.546233181,1.372810323,1.260338797,-0.337355327,-0.387868693,-0.439392226,-0.992908151,-0.047312518,0,0.848379932,-0.19032227,0.719718858,0.287688876,0.387868693,-0.094731242,0.602006499,1.672937388,0.337355327,-1.505967676,-2.348130201,2.348130201,1.161882937,-0.719718858,0.094731242,-0.492110105,-1.672937388,0.238722518,1.073562376,-1.073562376,-0.782429395,-1.906358003,-1.372810323,-0.848379932,0.492110105,0.047312518,-1.260338797,0.918245093,-0.546233181,-0.659719326,0.992908151,-0.918245093,-0.142364055,-0.602006499,-0.287688876,0.782429395,1.505967676,0.659719326,0.19032227
