Family,Distance_to_core,Time_to_germination,Days_to_flower,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_stolon_thick,Avg_seeds_per_flower,sex_asex
1_1,2.09634395245024,7,64,3.842733333333334,3.5891666666666664,6.6675,1.2633333333333334,2.2346287857913643,0.2044204645998508
1_2,2.09634395245024,14.333333333333334,64.33333333333333,3.9244,3.5927777777777776,6.122777777777777,1.245,2.787083333333334,0.2229130567730099
1_3,2.09634395245024,9,66,5.0094,2.6566666666666667,3.7583333333333337,1.165,2.9947368421052634,0.01644907573761333
1_6,2.09634395245024,6,64,4.6999,3.9891666666666663,6.345833333333333,1.3050000000000002,3.7734604105571847,0.2742717930168727
1_7,2.09634395245024,6.666666666666667,64,3.5740666666666665,3.338333333333334,6.3116666666666665,1.1616666666666666,3.037337662337662,0.09341366510604177
1_8,2.09634395245024,6.5,60.5,4.7184,3.6216666666666666,6.013333333333334,1.1725,2.6041666666666665,0.23775008477449985
10_1,14.971521867180057,7.333333333333333,68,4.742733333333334,3.803888888888889,6.541666666666666,1.3666666666666667,2.7919180403313533,0.31623114659619633
10_2,14.971521867180057,5.333333333333333,63,3.617066666666666,4.127777777777777,6.814444444444445,1.39,2.5902303278253016,0.5878059569448542
10_3,14.971521867180057,4.333333333333333,65.33333333333333,5.571733333333333,3.595,6.421111111111111,1.3133333333333332,3.022548285048285,0.5482674451995788
10_4,14.971521867180057,3.6666666666666665,63,4.444400000000001,3.82,6.831666666666667,1.39,2.93474234534137,0.5200852008520085
10_5,14.971521867180057,3,60.5,3.4341999999999997,3.705,6.638333333333334,1.4475,2.390726350615994,0.7745035233824472
10_6,14.971521867180057,4,63.666666666666664,3.6970666666666663,3.955,6.517777777777778,1.34,3.088935549502287,0.29540536641661863
10_8,14.971521867180057,8,65.66666666666667,2.437066666666667,3.5072222222222225,6.046666666666667,1.3883333333333332,2.2723044397463,0.5098205492942335
11_1,16.533738844636368,4.25,65.5,3.4674000000000005,3.4379166666666667,6.102083333333333,1.15625,2.5664680339985217,0.5473265270808099
11_2,16.533738844636368,4.333333333333333,67.33333333333333,3.5177333333333336,3.6216666666666666,6.153333333333333,1.26,3.627580893682589,0.41005571769700194
11_3,16.533738844636368,4,65.66666666666667,3.547733333333334,3.365,5.7988888888888885,1.25,2.5242278428395863,0.3205239025856885
11_4,16.533738844636368,4,58.333333333333336,3.119266666666667,3.2427777777777775,6.061111111111111,1.56,2.4474921557770397,0.7765072987240591
11_5,16.533738844636368,5,62.75,3.3786500000000004,3.7316666666666665,6.378333333333334,1.25125,2.504908482502822,0.5747265919820047
11_7,16.533738844636368,6.666666666666667,64,2.1360666666666672,3.556111111111111,5.795555555555556,1.3,2.8623470522803114,0.32183764551668176
11_8,16.533738844636368,3.5,64.5,3.6924,3.315833333333333,6.069166666666667,1.4874999999999998,2.9454545454545453,0.3066569169104106
12_1,18.51599892153233,4,60,2.2790666666666666,3.6716666666666664,6.532222222222222,1.65,2.4617716651878143,0.8319780026911602
12_2,18.51599892153233,4.333333333333333,58.5,3.6967333333333334,3.465,6.0825,1.4483333333333337,3.004972865056379,0.6368325188003823
12_3,18.51599892153233,4,65,3.692066666666667,3.1238888888888887,5.598888888888888,1.5583333333333331,2.3825396825396825,0.554016720535924
12_4,18.51599892153233,8.5,70,2.4922000000000004,3.1375,5.296666666666667,1.6425,2.824340496156534,0.3335607094133698
12_6,18.51599892153233,6.666666666666667,68,3.4554,3.482222222222222,6.056111111111111,1.3983333333333332,3.8193211161940934,0.25837819065810047
12_7,18.51599892153233,4.25,61.25,4.79415,3.3720833333333333,6.254166666666666,1.49125,1.6368656156156156,0.310341770699707
12_8,18.51599892153233,4.333333333333333,61.333333333333336,2.3557333333333337,3.2816666666666667,5.611111111111112,1.465,2.9923423423423423,0.30173194475888626
13_1,20.25081019161363,6.333333333333333,47.333333333333336,2.3254,3.1683333333333334,5.437777777777778,1.4,3.3136363636363635,0.3617155471460109
13_3,20.25081019161363,6.666666666666667,60.333333333333336,2.3994000000000004,3.388888888888889,5.973333333333334,1.48,3.6363346104725416,0.5329665749770777
