site,category,type,surface_area,surface_temp,elevation,secchi
Alkali,landscape,pond,9.7,26.8,568,0.5
Banks,landscape,reservoir,10926.5,20.2,479,2.5
BillyClapp,landscape,reservoir,404.7,20.7,407,4.8
Blue,paired,lake,214.5,24.3,335,4.3
Canal1,landscape,canal,NA,21.8,305,1
Canal2,landscape,canal,NA,21.3,308,NA
CanalLake,landscape,lake,24.7,22.9,300,4.9
Clear,paired,lake,165.9,24,713,3
ClearPot,paired,pond,0.3,20.5,719,1.5
ClearSprague,landscape,pond,2.4,23.2,592,0.4
Cow,paired,lake,218.5,19.5,534,2.8
Deep,paired,lake,44.5,24.5,376,6.5
DryFalls,paired,lake,40.1,24.4,368,3.8
EastTwin,paired,pond,48.6,18.7,597,0.5
Evergreen,landscape,reservoir,101.2,23.2,366,2.2
Halfmoon,landscape,lake,10,21.4,250,2
Heart,landscape,lake,10.9,23.7,298,6.2
Hutchinson,landscape,lake,19.8,23.8,216,1.5
Lenore,paired,lake,526.1,25,330,2
LilyPad,paired,pond,8.4,23.9,568,0.5
LowerGoose,landscape,semi-natural lake,20.2,22,262,3.1
Marsh,paired,pond,0.8,20.8,592,0.5
Medical,paired,lake,64.7,23.9,730,2.8
Miller,paired,pond,0.6,23.2,607,0.5
Morgan,landscape,lake,14,22.3,250,2
Moses,paired,semi-natural lake,2751.9,23.6,319,3
NorthTeal,landscape,lake,8.8,22.2,291,3.8
OSullivan,paired,pond,0.2,17.2,293,0.5
Park,paired,lake,141.6,23.7,345,5
Pot1,paired,pond,0.1,23.5,317,0.5
Potholes,landscape,reservoir,11331.2,21.2,317,2.3
Rock,paired,lake,890.3,22.1,526,3.8
Shiner,landscape,lake,13,22.7,216,1
Silver,paired,lake,198.3,24.1,714,4.1
Soap,paired,lake,348,25.1,327,6.7
Soda,landscape,reservoir,72.8,22,304,2.1
Sprague,paired,lake,728.4,22.2,572,1.9
ThreeInch,paired,pond,48.6,19.7,597,0.5
Thule,paired,pond,8.2,21.3,582,0.5
UpperCrab,paired,pond,0.2,14.5,299,0.5
Willow,paired,lake,21.9,22.7,732,0.9
